caldt,vwretd,vwindd,vwretx,vwindx,ewretd,ewindd,ewretx,ewindx,sprtrn,spindx,CAP1RET,CAP1IND,CAP2RET,CAP2IND,CAP3RET,CAP3IND,CAP4RET,CAP4IND,CAP5RET,CAP5IND,CAP6RET,CAP6IND,CAP7RET,CAP7IND,CAP8RET,CAP8IND,CAP9RET,CAP9IND,CAP10RET,CAP10IND,totval,totcnt,usdval,usdcnt
19980130,0.004502,1984.34800,0.003624,796.308000,0.015367,3135.04000,0.014571,1797.67300,0.010150,980.28,0.078708,8262.10100,0.022566,2765.47400,0.008294,1986.94400,0.005687,1967.46300,0.010929,2047.12000,-0.015406,2248.90500,0.005654,1997.13300,-0.008649,2618.25400,-0.009182,2326.25400,0.006536,1875.07800,10832553600.00,9090,10757968000.00,9035
19980227,0.073303,2129.80700,0.071798,853.481600,0.060460,3324.58500,0.059475,1904.59000,0.070449,1049.34,0.040580,8597.38100,0.040307,2876.94200,0.049556,2085.41000,0.049105,2064.07400,0.054778,2159.25700,0.058991,2381.57100,0.070045,2137.02300,0.065636,2790.10700,0.082336,2517.78700,0.073539,2012.96900,11609181700.00,9082,10808114800.00,9018
19980331,0.051301,2239.06900,0.050044,896.193100,0.046884,3480.45500,0.045695,1991.62100,0.049946,1101.75,0.038040,8924.42500,0.047118,3012.49700,0.035078,2158.56200,0.051862,2171.12100,0.049818,2266.82600,0.043668,2485.56900,0.040033,2222.57400,0.044000,2912.87300,0.043153,2626.43700,0.052883,2119.42100,12270630900.00,9053,11586906500.00,8987
19980430,0.010904,2263.48200,0.009902,905.067400,0.023244,3561.35500,0.022231,2035.89700,0.009076,1111.75,0.051106,9380.51800,0.049401,3161.31700,0.034102,2232.17300,0.029364,2234.87300,0.017723,2307.00200,0.008342,2506.30200,0.016173,2258.52100,0.010015,2942.04400,0.002457,2632.89000,0.011317,2143.40800,12404129800.00,9048,12218588100.00,8975
19980529,-0.025748,2205.20200,-0.027040,880.594500,-0.042571,3409.74600,-0.043589,1947.15300,-0.018826,1090.82,-0.039918,9006.07000,-0.044151,3021.74300,-0.042422,2137.48000,-0.038745,2148.28400,-0.048458,2195.21000,-0.055135,2368.11600,-0.057028,2129.72200,-0.046234,2806.02200,-0.050644,2499.54900,-0.020750,2098.93200,12109391500.00,9052,12383486500.00,8975
19980630,0.031944,2275.64600,0.030725,907.650700,-0.029150,3310.35300,-0.030414,1887.93200,0.039438,1133.84,-0.061143,8455.41100,-0.051517,2866.07300,0.002836,2143.54300,-0.042334,2057.33800,-0.034609,2119.23600,-0.020592,2319.35300,0.004194,2138.65300,-0.003604,2795.90800,0.008517,2520.83600,0.038599,2179.94900,12563660200.00,9035,12040038200.00,8946
19980731,-0.023367,2222.47000,-0.024343,885.555500,-0.050546,3143.02800,-0.051324,1791.03500,-0.011615,1120.67,-0.063261,7920.51200,-0.039296,2753.44800,-0.052738,2030.49700,-0.061708,1930.38500,-0.052071,2008.88600,-0.057256,2186.55600,-0.057289,2016.13200,-0.071682,2595.49100,-0.068959,2347.00100,-0.015073,2147.09100,12280112800.00,9017,12496602000.00,8940
19980831,-0.157844,1871.66700,-0.159153,744.617100,-0.196406,2525.71800,-0.197447,1437.40100,-0.145797,957.28,-0.201933,6321.10200,-0.204776,2189.60900,-0.220332,1583.11500,-0.199932,1544.43900,-0.208020,1590.99800,-0.202999,1742.68700,-0.203482,1605.88600,-0.198312,2080.77300,-0.188077,1905.58500,-0.150894,1823.10700,10329305300.00,8964,12233512300.00,8924
19980930,0.063827,1991.12900,0.062308,791.012500,0.043248,2634.95100,0.041855,1497.56400,0.062396,1017.01,0.004761,6351.19500,0.007321,2205.64000,0.048730,1660.26000,0.026133,1584.80000,0.041036,1656.28500,0.049498,1828.94700,0.073498,1723.91700,0.074088,2234.93300,0.066653,2032.59700,0.063695,1939.22900,10989073800.00,8893,10279623300.00,8872
19981030,0.074393,2139.25400,0.073375,849.053000,0.037827,2734.62300,0.036964,1552.92000,0.080294,1098.67,-0.003502,6328.95400,-0.014782,2173.03700,0.026085,1703.56800,0.022792,1620.92100,0.020732,1690.62400,0.021558,1868.37500,0.028619,1773.25400,0.034431,2311.88400,0.046899,2127.92300,0.080971,2096.25000,11786920600.00,8788,10844845700.00,8758
