caldt,t90ret,t90ind,cpiret,cpiind
19980130,0.004677,652.688700,0.001860,380.2
19980227,0.003693,655.099100,0.001856,380.9
19980331,0.004878,658.294700,0.001853,381.6
19980430,0.004626,661.340000,0.001850,382.4
19980529,0.004217,664.128800,0.001846,383.1
19980630,0.004381,667.038400,0.001229,383.5
19980731,0.004372,669.954700,0.001227,384.0
19980831,0.004510,672.976200,0.001225,384.5
19980930,0.005102,676.409700,0.001224,384.9
19981030,0.003809,678.986100,0.002445,385.9
19981130,0.003565,681.406700,0.000000,385.9
19981231,0.003951,684.099000,-0.000610,385.6
19990129,0.003572,686.542600,0.002441,386.6
19990226,0.003042,688.631000,0.001217,387.1
19990331,0.004331,691.613500,0.003040,388.2
19990430,0.003557,694.073500,0.007273,391.1
19990528,0.003504,696.505600,0.000000,391.1
19990630,0.004475,699.622400,0.000000,391.1
19990730,0.004142,702.520300,0.003008,392.2
19990831,0.004170,705.449800,0.002400,393.2
19990930,0.004565,708.670200,0.004788,395.1
19991029,0.003940,711.462300,0.001787,395.8
19991130,0.004302,714.523000,0.000595,396.0
19991231,0.004551,717.774800,0.000000,396.0
20000131,0.004339,720.889300,0.002971,397.2
20000229,0.004262,723.961700,0.005924,399.5
20000331,0.004793,727.431600,0.008245,402.8
20000428,0.004941,731.025900,0.000584,403.1
20000531,0.006164,735.531900,0.001168,403.5
20000630,0.004348,738.730000,0.005248,405.6
20000731,0.004468,742.030700,0.002320,406.6
20000831,0.005156,745.856600,0.000000,406.6
20000929,0.005281,749.795400,0.005208,408.7
20001031,0.005153,753.659100,0.001727,409.4
20001130,0.005437,757.756800,0.000575,409.6
20001229,0.005512,761.933500,-0.000574,409.4
20010131,0.006900,767.190900,0.006322,412.0
20010228,0.003967,770.234300,0.003998,413.6
20010330,0.004678,773.837500,0.002275,414.6
20010430,0.004470,777.296500,0.003973,416.2
20010531,0.003853,780.291500,0.004522,418.1
20010629,0.003001,782.633100,0.001688,418.8
20010731,0.003305,785.219700,-0.002809,417.6
20010831,0.003284,787.798400,0.000000,417.6
20010928,0.004224,791.126000,0.004507,419.5
20011031,0.002545,793.139500,-0.003365,418.1
20011130,0.002106,794.809800,-0.001688,417.4
20011231,0.001592,796.075100,-0.003946,415.8
20020131,0.001488,797.259700,0.002264,416.7
20020228,0.001373,798.354300,0.003953,418.4
20020328,0.001376,799.452900,0.005624,420.7
20020430,0.001669,800.787100,0.005593,423.1
20020531,0.001607,802.074000,0.000000,423.1
20020628,0.001432,803.222600,0.000556,423.3
20020731,0.001556,804.472400,0.001112,423.8
20020830,0.001467,805.652600,0.003331,425.2
20020930,0.001606,806.946400,0.001660,425.9
20021031,0.001475,808.136700,0.001657,426.6
20021129,0.001557,809.395000,0.000000,426.6
20021231,0.001199,810.365400,-0.002206,425.6
20030131,0.001084,811.243900,0.004422,427.5
20030228,0.000850,811.933400,0.007705,430.8
20030331,0.001198,812.906100,0.006008,433.4
20030430,0.000930,813.662100,-0.002172,432.5
20030530,0.000958,814.441600,-0.001632,431.8
20030630,0.001439,815.613600,0.001090,432.2
20030731,0.000746,816.222000,0.001089,432.7
20030829,0.000717,816.807300,0.003806,434.4
20030930,0.001072,817.682900,0.003250,435.8
20031031,0.000774,818.315800,-0.001080,435.3
20031128,0.000804,818.973700,-0.002703,434.1
20031231,0.000971,819.768900,-0.001084,433.6
20040130,0.000868,820.480500,0.004883,435.8
20040227,0.000663,821.024500,0.005400,438.1
20040331,0.000918,821.778200,0.006445,440.9
20040430,0.000816,822.448700,0.003202,442.4
20040528,0.000749,823.064700,0.005851,444.9
20040630,0.000819,823.738800,0.003173,446.4
20040730,0.000896,824.476900,-0.001581,445.6
20040831,0.001258,825.514100,0.000528,445.9
20040930,0.001327,826.609600,0.002111,446.8
20041029,0.001111,827.527900,0.005266,449.2
20041130,0.001474,828.747700,0.000524,449.4
20041231,0.002104,830.491400,-0.003665,447.8
20050131,0.001690,831.894900,0.002102,448.7
20050228,0.001613,833.236800,0.005768,451.3
20050331,0.002385,835.224000,0.007821,454.8
20050429,0.002189,837.052300,0.006725,457.9
20050531,0.002672,839.288900,-0.001028,457.4
20050630,0.002256,841.182400,0.000514,457.6
20050729,0.002114,842.960600,0.004627,459.8
20050831,0.003081,845.557800,0.005118,462.1
20050930,0.003136,848.209500,0.012220,467.8
20051031,0.002667,850.471600,0.002012,468.7
20051130,0.003393,853.357300,-0.008032,464.9
20051230,0.003170,856.062400,-0.004049,463.1
20060131,0.003212,858.812100,0.007622,466.6
20060228,0.003270,861.620400,0.002017,467.5
20060331,0.003923,865.000600,0.005536,470.1
20060428,0.003340,867.889700,0.008509,474.1
20060531,0.004294,871.616400,0.004963,476.5
20060630,0.003842,874.965100,0.001975,477.4
20060731,0.004207,878.646100,0.002957,478.8
20060831,0.004477,882.579800,0.001966,479.8
20060929,0.004418,886.479000,-0.004904,477.4
20061031,0.003932,889.964700,-0.005421,474.8
20061130,0.004312,893.802200,-0.001487,474.1
20061229,0.004088,897.456100,0.001489,474.8
20070131,0.004410,901.413900,0.003053,476.3
20070228,0.003807,904.845500,0.005350,478.8
20070330,0.004365,908.795200,0.009106,483.2
20070430,0.004529,912.911100,0.006496,486.3
20070531,0.004487,917.007400,0.006111,489.3
20070629,0.003801,920.492900,0.001938,490.2
20070731,0.004037,924.208900,-0.000254,490.1
20070831,0.005694,929.471300,-0.001834,489.2
20070928,0.003905,933.100900,0.002756,490.6
20071031,0.003145,936.035600,0.002139,491.6
20071130,0.004658,940.395600,0.005940,494.5
20071231,0.002879,943.103000,-0.000671,494.2
20080131,0.005008,947.826100,0.004971,496.7
20080229,0.001676,949.414600,0.002904,498.1
20080331,0.002430,951.721700,0.008668,502.4
20080430,0.001126,952.793300,0.006065,505.5
20080530,0.000221,953.003900,0.008421,509.7
20080630,0.001831,954.748800,0.010077,514.9
20080731,0.001720,956.391000,0.005251,517.6
20080829,0.001413,957.742400,-0.003992,515.5
20080930,0.002546,960.180800,-0.001383,514.8
20081031,0.001208,961.340700,-0.010101,509.6
20081128,0.001024,962.325100,-0.019153,499.8
20081231,0.000063,962.385800,-0.010342,494.7
20090130,-0.000038,962.349200,0.004352,496.8
20090227,0.000280,962.618700,0.004973,499.3
20090331,0.000351,962.956500,0.002432,500.5
20090430,0.000359,963.302200,0.002496,501.7
20090529,0.000118,963.415900,0.002889,503.2
20090630,0.000108,963.520000,0.008590,507.5
20090731,0.000196,963.708800,-0.001586,506.7
20090831,0.000241,963.941000,0.002243,507.8
20090930,0.000250,964.182000,0.000625,508.2
20091030,0.000195,964.370000,0.000963,508.7
20091130,0.000104,964.470300,0.000708,509.0
20091231,0.000066,964.534000,-0.001761,508.1
20100129,0.000062,964.593800,0.003417,509.9
20100226,0.000015,964.608300,0.000249,510.0
20100331,0.000042,964.648800,0.004106,512.1
20100430,0.000129,964.773200,0.001737,513.0
20100528,0.000129,964.897700,0.000775,513.4
20100630,0.000118,965.011500,-0.000976,512.9
20100730,0.000176,965.181400,0.000211,513.0
20100831,0.000145,965.321300,0.001381,513.7
20100930,0.000044,965.363800,0.000582,514.0
20101029,0.000159,965.517300,0.001245,514.6
20101130,0.000046,965.561700,0.000421,514.8
20101231,0.000220,965.774100,0.001718,515.7
20110131,0.000058,965.830100,0.004763,518.2
20110228,0.000142,965.967300,0.004931,520.7
20110331,0.000237,966.196200,0.009751,525.8
20110429,0.000208,966.397200,0.006439,529.2
20110531,0.000064,966.459000,0.004704,531.7
20110630,0.000103,966.558600,-0.001071,531.1
20110729,-0.000083,966.478400,0.000886,531.6
20110831,0.000231,966.701600,0.002758,533.0
20110930,0.000008,966.709300,0.001518,533.9
20111031,0.000025,966.733500,-0.002063,532.8
20111130,0.000006,966.739300,-0.000844,532.3
20111230,-0.000009,966.730600,-0.002467,531.0
20120131,-0.000048,966.684200,0.004400,533.3
20120229,0.000018,966.701600,0.004403,535.7
20120330,0.000088,966.786700,0.007595,539.7
20120430,0.000036,966.821500,0.003021,541.4
20120531,0.000175,966.990700,-0.001173,540.7
20120629,0.000095,967.082500,-0.001466,539.9
20120731,0.000102,967.181200,-0.001630,539.1
20120831,0.000123,967.300100,0.005565,542.1
20120928,0.000109,967.405600,0.004462,544.5
20121031,0.000067,967.470400,-0.000389,544.3
20121130,0.000195,967.659100,-0.004738,541.7
20121231,0.000118,967.773300,-0.002693,540.2
20130131,0.000019,967.791600,0.002957,541.8
20130228,0.000017,967.808100,0.008190,546.3
20130328,0.000143,967.946500,0.002615,547.7
20130430,0.000165,968.106200,-0.001040,547.1
20130531,0.000093,968.196200,0.001780,548.1
20130628,0.000053,968.247500,0.002400,549.4
20130731,0.000048,968.294000,0.000394,549.6
20130830,0.000072,968.363700,0.001203,550.3
20130930,0.000040,968.402500,0.001163,550.9
20131031,-0.000018,968.385000,-0.002575,549.5
20131129,0.000063,968.446000,-0.002042,548.4
20131231,0.000122,968.564200,-0.000086,548.4
20140131,0.000149,968.708500,0.003720,550.4
20140228,-0.000023,968.686200,0.003698,552.4
20140331,0.000096,968.779200,0.006440,556.0
20140430,0.000053,968.830600,0.003297,557.8
20140530,0.000029,968.858700,0.003493,559.8
20140630,0.000042,968.899400,0.001862,560.8
20140731,0.000047,968.944900,-0.000390,560.6
20140829,0.000022,968.966200,-0.001671,559.7
20140930,0.000047,969.011700,0.000753,560.1
20141031,0.000001,969.012700,-0.002512,558.7
20141128,0.000034,969.045700,-0.005399,555.6
20141231,0.000001,969.046700,-0.005670,552.5
20150130,0.000119,969.162000,-0.004706,549.9
20150227,-0.000005,969.157100,0.004343,552.3
20150331,-0.000023,969.134800,0.005952,555.6
20150430,0.000080,969.212300,0.002033,556.7
20150529,0.000038,969.249200,0.005097,559.5
20150630,0.000029,969.277300,0.003503,561.5
20150731,0.000006,969.283100,0.000067,561.5
20150831,0.000136,969.414900,-0.001416,560.7
20150930,0.000022,969.436300,-0.001557,559.9
20151030,-0.000129,969.311200,-0.000450,559.6
20151130,0.000089,969.397500,-0.002111,558.4
20151231,0.000249,969.638800,-0.003417,556.5
20160129,-0.000057,969.583600,0.001653,557.4
20160229,0.000341,969.914200,0.000823,557.9
20160331,0.000474,970.373900,0.004306,560.3
20160429,0.000254,970.620400,0.004741,563.0
20160531,0.000155,970.770900,0.004046,565.2
20160630,0.000437,971.195100,0.003284,567.1
20160729,0.000261,971.448600,-0.001618,566.2
20160831,0.000269,971.709900,0.000918,566.7
20160930,0.000562,972.256000,0.002404,568.1
20161031,0.000282,972.530200,0.001247,568.8
20161130,0.000123,972.649800,-0.001555,567.9
20161230,0.000437,973.074900,0.000327,568.1
20170131,0.000476,973.538000,0.005828,571.4
20170228,0.000352,973.880700,0.003146,573.2
20170331,0.000384,974.254700,0.000813,573.6
20170428,0.000617,974.855800,0.002966,575.4
20170531,0.000588,975.429000,0.000855,575.8
20170630,0.000873,976.280500,0.000907,576.4
20170731,0.000917,977.175800,-0.000690,576.0
20170831,0.000978,978.131500,0.002994,577.7
20170929,0.000802,978.916000,0.005295,580.8
20171031,0.000939,979.835200,-0.000632,580.4
20171130,0.000951,980.767000,0.000024,580.4
20171229,0.000942,981.690900,-0.000588,580.1
20180131,0.001346,983.012200,0.005448,583.2
20180228,0.000969,983.964700,0.004535,585.9
20180329,0.001145,985.091400,0.002261,587.2
20180430,0.001479,986.548300,0.003975,589.5
20180531,0.001491,988.019300,0.004159,592.0
20180629,0.001522,989.523000,0.001594,592.9
20180731,0.001691,991.196300,0.000067,593.0
20180831,0.001675,992.856600,0.000556,593.3
20180928,0.001524,994.369700,0.001162,594.0
20181031,0.001931,996.289800,0.001767,595.0
20181130,0.001900,998.182800,-0.003349,593.0
20181231,0.001935,1000.11400,-0.003194,591.1
20190131,0.001923,1002.03700,0.001907,592.3
20190228,0.001740,1003.78100,0.004227,594.8
