PERMNO,date,RET
12060,19990129,0.028186
12060,19990226,-0.043504
12060,19990331,0.106293
12060,19990430,-0.047458
12060,19990528,-0.034994
12060,19990630,0.111248
12060,19990730,-0.032301
12060,19990831,0.030390
12060,19990930,0.058765
12060,19991029,0.142857
12060,19991130,-0.039668
12060,19991231,0.192392
12060,20000131,-0.136511
12060,20000229,-0.009355
12060,20000331,0.178735
12060,20000428,0.010442
12060,20000531,0.005167
12060,20000630,0.005931
12060,20000731,-0.026903
12060,20000831,0.140948
12060,20000929,-0.014711
12060,20001031,-0.049837
12060,20001130,-0.095781
12060,20001229,-0.029559
12060,20010131,-0.040834
12060,20010228,0.011309
12060,20010330,-0.096344
12060,20010430,0.159341
12060,20010531,0.009685
12060,20010629,-0.005102
12060,20010731,-0.104410
12060,20010831,-0.057931
12060,20010928,-0.088336
12060,20011031,-0.021237
12060,20011130,0.057402
12060,20011231,0.045714
12060,20020131,-0.073104
12060,20020228,0.041184
12060,20020328,-0.027273
12060,20020430,-0.157543
12060,20020531,-0.012995
12060,20020628,-0.061336
12060,20020731,0.108434
12060,20020830,-0.063665
12060,20020930,-0.176451
12060,20021031,0.024341
12060,20021129,0.074059
12060,20021231,-0.095133
12060,20030131,-0.049692
12060,20030228,0.047537
12060,20030331,0.060291
12060,20030430,0.154902
12060,20030530,-0.025467
12060,20030630,0.005923
12060,20030731,-0.008368
12060,20030829,0.039733
12060,20030930,0.014542
12060,20031031,-0.026837
12060,20031128,-0.011720
12060,20031231,0.087548
12060,20040130,0.085539
12060,20040227,-0.027059
12060,20040331,-0.061501
12060,20040430,-0.018676
12060,20040528,0.039065
12060,20040630,0.047558
12060,20040730,0.026235
12060,20040831,-0.013835
12060,20040930,0.030192
12060,20041029,0.016081
12060,20041130,0.036342
12060,20041231,0.038462
12060,20050131,-0.010137
12060,20050228,-0.019651
12060,20050331,0.024432
12060,20050429,0.003882
12060,20050531,0.007735
12060,20050630,-0.044134
12060,20050729,-0.004329
12060,20050831,-0.025797
12060,20050930,0.008331
12060,20051031,0.007128
12060,20051130,0.053377
12060,20051230,-0.011758
12060,20060131,-0.065621
12060,20060228,0.011298
12060,20060331,0.058108
12060,20060428,-0.005463
12060,20060531,-0.009540
12060,20060630,-0.030648
12060,20060731,-0.008192
12060,20060831,0.041909
12060,20060929,0.043746
12060,20061031,-0.005382
12060,20061130,0.004842
12060,20061229,0.062642
12060,20070131,-0.031174
12060,20070228,-0.023856
12060,20070330,0.012890
12060,20070430,0.042421
12060,20070531,0.019533
12060,20070629,0.026078
12060,20070731,0.012539
12060,20070831,0.002838
12060,20070928,0.072292
12060,20071031,-0.005797
12060,20071130,-0.069728
12060,20071231,-0.023766
12060,20080131,-0.046129
12060,20080229,-0.054016
12060,20080331,0.116777
12060,20080430,-0.116455
12060,20080530,-0.060551
12060,20080630,-0.121094
12060,20080731,0.059948
12060,20080829,-0.006716
12060,20080930,-0.081495
12060,20081031,-0.234902
12060,20081128,-0.119939
12060,20081231,-0.038439
12060,20090130,-0.251235
12060,20090227,-0.272877
12060,20090331,0.188014
12060,20090430,0.251236
12060,20090529,0.065613
12060,20090630,-0.123145
12060,20090731,0.143345
12060,20090831,0.037313
12060,20090930,0.188489
12060,20091030,-0.131547
12060,20091130,0.123422
12060,20091231,-0.049313
12060,20100129,0.062789
12060,20100226,0.004975
12060,20100331,0.133250
12060,20100430,0.036264
12060,20100528,-0.133086
12060,20100630,-0.111927
12060,20100730,0.117892
12060,20100831,-0.101737
12060,20100930,0.130525
12060,20101029,-0.014154
12060,20101130,-0.011860
12060,20101231,0.164245
12060,20110131,0.101148
12060,20110228,0.045680
12060,20110331,-0.041587
12060,20110429,0.019950
12060,20110531,-0.039609
12060,20110630,-0.032077
12060,20110729,-0.050371
12060,20110831,-0.089336
12060,20110930,-0.057633
12060,20111031,0.097897
12060,20111130,-0.047875
12060,20111230,0.136392
12060,20120131,0.044668
12060,20120229,0.027258
12060,20120330,0.053543
12060,20120430,-0.024415
12060,20120531,-0.025026
12060,20120629,0.100576
12060,20120731,-0.004319
12060,20120831,-0.001928
12060,20120928,0.104780
12060,20121031,-0.072655
12060,20121130,0.003324
12060,20121231,0.002366
12060,20130131,0.061458
12060,20130228,0.050718
12060,20130328,-0.004307
12060,20130430,-0.035900
12060,20130531,0.046209
12060,20130628,0.002573
