caldt,t90ret
19990129,0.003572
19990226,0.003042
19990331,0.004331
19990430,0.003557
19990528,0.003504
19990630,0.004475
19990730,0.004142
19990831,0.004170
19990930,0.004565
19991029,0.003940
19991130,0.004302
19991231,0.004551
20000131,0.004339
20000229,0.004262
20000331,0.004793
20000428,0.004941
20000531,0.006164
20000630,0.004348
20000731,0.004468
20000831,0.005156
20000929,0.005281
20001031,0.005153
20001130,0.005437
20001229,0.005512
20010131,0.006900
20010228,0.003967
20010330,0.004678
20010430,0.004470
20010531,0.003853
20010629,0.003001
20010731,0.003305
20010831,0.003284
20010928,0.004224
20011031,0.002545
20011130,0.002106
20011231,0.001592
20020131,0.001488
20020228,0.001373
20020328,0.001376
20020430,0.001669
20020531,0.001607
20020628,0.001432
20020731,0.001556
20020830,0.001467
20020930,0.001606
20021031,0.001475
20021129,0.001557
20021231,0.001199
20030131,0.001084
20030228,0.000850
20030331,0.001198
20030430,0.000930
20030530,0.000958
20030630,0.001439
20030731,0.000746
20030829,0.000717
20030930,0.001072
20031031,0.000774
20031128,0.000804
20031231,0.000971
20040130,0.000868
20040227,0.000663
20040331,0.000918
20040430,0.000816
20040528,0.000749
20040630,0.000819
20040730,0.000896
20040831,0.001258
20040930,0.001327
20041029,0.001111
20041130,0.001474
20041231,0.002104
20050131,0.001690
20050228,0.001613
20050331,0.002385
20050429,0.002189
20050531,0.002672
20050630,0.002256
20050729,0.002114
20050831,0.003081
20050930,0.003136
20051031,0.002667
20051130,0.003393
20051230,0.003170
20060131,0.003212
20060228,0.003270
20060331,0.003923
20060428,0.003340
20060531,0.004294
20060630,0.003842
20060731,0.004207
20060831,0.004477
20060929,0.004418
20061031,0.003932
20061130,0.004312
20061229,0.004088
20070131,0.004410
20070228,0.003807
20070330,0.004365
20070430,0.004529
20070531,0.004487
20070629,0.003801
20070731,0.004037
20070831,0.005694
20070928,0.003905
20071031,0.003145
20071130,0.004658
20071231,0.002879
20080131,0.005008
20080229,0.001676
20080331,0.002430
20080430,0.001126
20080530,0.000221
20080630,0.001831
20080731,0.001720
20080829,0.001413
20080930,0.002546
20081031,0.001208
20081128,0.001024
20081231,0.000063
20090130,-0.000038
20090227,0.000280
20090331,0.000351
20090430,0.000359
20090529,0.000118
20090630,0.000108
20090731,0.000196
20090831,0.000241
20090930,0.000250
20091030,0.000195
20091130,0.000104
20091231,0.000066
20100129,0.000062
20100226,0.000015
20100331,0.000042
20100430,0.000129
20100528,0.000129
20100630,0.000118
20100730,0.000176
20100831,0.000145
20100930,0.000044
20101029,0.000159
20101130,0.000046
20101231,0.000220
20110131,0.000058
20110228,0.000142
20110331,0.000237
20110429,0.000208
20110531,0.000064
20110630,0.000103
20110729,-0.000083
20110831,0.000231
20110930,0.000008
20111031,0.000025
20111130,0.000006
20111230,-0.000009
20120131,-0.000048
20120229,0.000018
20120330,0.000088
20120430,0.000036
20120531,0.000175
20120629,0.000095
20120731,0.000102
20120831,0.000123
20120928,0.000109
20121031,0.000067
20121130,0.000195
20121231,0.000118
20130131,0.000019
20130228,0.000017
20130328,0.000143
20130430,0.000165
20130531,0.000093
20130628,0.000053
20130731,0.000048
20130830,0.000072
20130930,0.000040
20131031,-0.000018
20131129,0.000063
20131231,0.000122
20140131,0.000149
20140228,-0.000023
20140331,0.000096
20140430,0.000053
20140530,0.000029
20140630,0.000042
20140731,0.000047
20140829,0.000022
20140930,0.000047
20141031,0.000001
20141128,0.000034
20141231,0.000001
20150130,0.000119
20150227,-0.000005
20150331,-0.000023
20150430,0.000080
20150529,0.000038
20150630,0.000029
20150731,0.000006
20150831,0.000136
20150930,0.000022
20151030,-0.000129
20151130,0.000089
20151231,0.000249
20160129,-0.000057
20160229,0.000341
20160331,0.000474
20160429,0.000254
20160531,0.000155
20160630,0.000437
20160729,0.000261
20160831,0.000269
20160930,0.000562
20161031,0.000282
20161130,0.000123
20161230,0.000437
20170131,0.000476
20170228,0.000352
20170331,0.000384
20170428,0.000617
20170531,0.000588
20170630,0.000873
20170731,0.000917
20170831,0.000978
20170929,0.000802
20171031,0.000939
20171130,0.000951
20171229,0.000942
20180131,0.001346
20180228,0.000969
20180329,0.001145
20180430,0.001479
20180531,0.001491
20180629,0.001522
20180731,0.001691
20180831,0.001675
20180928,0.001524
20181031,0.001931
20181130,0.001900
20181231,0.001935
