Date,AAPL,AMZN,HD,IBM,KO,MSFT,WMT,ADBE,COST,BA
20040130,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20040227,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20040331,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20040430,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20040528,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20040630,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20040730,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20040831,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20040930,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20041029,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20041130,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20041231,5076.010926,0.000000001,22407.0446,1645.592,15934.88628,74825.0594,43623.009,1423.478311,7624.812924,11285.99534
20050131,7465.988381,245.9808,24158.0155,1573.98,16355.1022,48114.675,49395.961,1864.305643,8881.112064,11059.01775
20050228,7465.988381,245.9808,24158.0155,1573.98,16355.1022,48114.675,49395.961,1864.305643,8881.112064,11059.01775
20050331,7465.988381,245.9808,24158.0155,1573.98,16355.1022,48114.675,49395.961,1864.305643,8881.112064,11059.01775
20050429,7465.988381,245.9808,24158.0155,1573.98,16355.1022,48114.675,49395.961,1864.305643,8881.112064,11059.01775
