date,AAPL,AMZN,HD,IBM,KO,MSFT,WMT,ADBE,COST,BA
19990129,0.006107,0.092023,-0.011236,-0.006102,-0.025187,0.26183,0.056025,0.02139,0.148052,0.063218
19990226,-0.15478,0.095671,-0.01343,-0.072469,-0.02201,-0.142143,0.001453,-0.157068,-0.03092,0.031063
19990331,0.032316,0.343902,0.043435,0.044183,-0.036634,0.194005,0.071553,0.41118,0.140078,-0.045614
19990430,0.28,-0.000726,-0.040161,0.180183,0.108961,-0.092748,-0.002034,0.11674,-0.116041,0.194853
19990528,-0.04212,-0.309844,-0.053347,0.1102,0.006428,-0.007686,-0.07337,0.169625,-0.104247,0.038831
19990630,0.051064,0.053684,0.139934,0.114224,-0.092555,0.117738,0.133138,0.109022,0.10431,0.046062
19990730,0.202429,-0.2003,-0.009699,-0.027563,-0.023185,-0.04851,-0.124352,0.043743,-0.066354,0.03125
19990831,0.171717,0.242973,-0.035612,-0.007996,-0.012384,0.07866,0.048817,0.161808,0,0.001708
19990930,-0.029693,0.285427,0.115854,-0.0286,-0.190637,-0.021607,0.074471,0.139774,-0.036789,-0.05931
19991029,0.265548,-0.116497,0.103825,-0.188017,0.222798,0.022084,0.191853,0.232379,0.115451,0.080645
19991130,0.221529,0.204425,0.046172,0.050204,0.141483,-0.016374,0.014333,-0.017873,0.141634,-0.115007
19991231,0.050447,-0.10507,0.302289,0.046695,-0.133023,0.282306,0.203043,-0.020564,-0.004772,0.02
20000131,0.009119,-0.151888,-0.176364,0.040556,-0.013948,-0.16167,-0.207957,-0.181227,0.072603,0.073906
20000229,0.104819,0.066796,0.020971,-0.083563,-0.153428,-0.086845,-0.107306,0.85244,0.014049,-0.166798
20000331,0.184842,-0.027223,0.116368,0.148418,-0.031208,0.188811,0.157238,0.091544,0.059194,0.023689
20000428,-0.086516,-0.176306,-0.124031,-0.055085,0.006658,-0.343529,-0.019912,0.086468,0.028537,0.049587
20000531,-0.322922,-0.124575,-0.136062,-0.03583,0.12963,-0.103047,0.047404,-0.069251,-0.409249,-0.01222
20000630,0.247024,-0.248383,0.023867,0.020373,0.079297,0.278721,-0.005431,0.155136,0.033268,0.0704
20000731,-0.029833,-0.170396,0.036295,0.026241,0.067465,-0.127344,-0.046638,-0.119231,-0.013258,0.171898
20000831,0.199262,0.377593,-0.070483,0.175142,-0.141692,0,-0.136519,0.135371,0.057582,0.097245
20000929,-0.577436,-0.073795,0.104031,-0.147727,0.050736,-0.136079,0.015758,0.194423,0.014519,0.174825
20001031,-0.240291,-0.047154,-0.189635,-0.124444,0.095238,0.141969,-0.057143,-0.020129,0.048301,0.076389
20001130,-0.15655,-0.325939,-0.087733,-0.049442,0.040083,-0.166969,0.150138,-0.166804,-0.109215,0.020498
20001229,-0.098485,-0.36962,0.165869,-0.090909,-0.026946,-0.244009,0.019114,-0.081854,0.224138,-0.044344
20010131,0.453782,0.11245,0.054993,0.317647,-0.048205,0.407781,0.069176,-0.24898,0.158059,-0.113636
20010228,-0.156069,-0.411552,-0.118257,-0.106875,-0.08569,-0.033777,-0.118134,-0.334764,-0.097297,0.066154
20010330,0.209315,0.004172,0.015059,-0.037237,-0.145012,-0.073093,0.009583,0.203699,-0.05988,-0.104341
20010430,0.154961,0.542522,0.092807,0.19713,0.022808,0.238857,0.024554,0.28453,-0.110064,0.109316
20010531,-0.21734,0.057668,0.046497,-0.027792,0.026196,0.021107,0.000193,-0.114648,0.113942,0.020388
20010629,0.165413,-0.152187,-0.054778,0.010733,-0.046835,0.055218,-0.055652,0.18211,0.05577,-0.115917
20010731,-0.191828,-0.117314,0.082062,-0.068938,-0.008889,-0.093288,0.145492,-0.20234,0.047955,0.052698
20010831,-0.012773,-0.284227,-0.086956,-0.048665,0.091256,-0.138087,-0.140429,-0.103494,-0.13101,-0.12233
20010928,-0.163881,-0.332215,-0.164962,-0.082341,-0.033696,-0.103068,0.031634,-0.28615,-0.049452,-0.345703
20011031,0.132173,0.169179,-0.003649,0.17826,0.021985,0.136408,0.038384,0.100917,0.063836,-0.026866
20011130,0.212984,0.621776,0.221554,0.07088,-0.015455,0.104213,0.072957,0.215152,0.080624,0.081902
20011231,0.028169,-0.04417,0.093462,0.046457,0.004046,0.031771,0.044787,-0.031718,0.085616,0.104843
