Date,AAPL,AMZN,HD,IBM,KO,MSFT,WMT,ADBE,COST,BA
20040130,8341109,20329042,80701912,170717574,120712451,298464966,233051007,9133363,16921438,33409018
20040227,8843942,17390276,82613093,166020820,122165389,286375246,257762636,8882970,17921066,34705368
20040331,10081999,17523812,85002070,156074365,122996779,268670610,258325248,9382443,17262614,34621599
20040430,9797483,17659046,78892743,149837509,123172287,282065328,244459206,9907669,17212125,35993262
20040528,10663979,19643664,80529335,149307017,125072117,283144797,239012483,10654922,17410881,38615400
20040630,12534148,22125078,78241574,148565454,122953076,310218720,225255285,11149770,18990981,43075563
20040730,12545495,15835030,74951872,145858967,106828881,309458380,226322643,10113920,18774231,42601276
20040831,13379533,15517679,81264544,141872010,108479426,296824847,224871036,10998709,19046765,43835243
20040930,15168455,16648979,86061522,143630962,97172915,300417250,225701692,11804878,19204062,41163543
20041029,20511666,13926815,90188963,149406556,98374268,304078372,228756301,13370271,22487312,41895890
20041130,26957989,16191503,91659912,156881045,95108029,291497221,220865227,14451251,22933028,44977211
20041231,26052956,18146100,93855117,164105830,100745315,290719532,223685675,15321108,22868497,43465937
20050131,31420263,17707709,90605103,155515994,100382400,285932234,221907031,13894980,22329970,42483608
20050228,36658336,14413633,87882119,151148793,103551861,273746386,218561486,15079350,22242066,45758402
20050331,34300119,14084970,82838930,149189638,100428409,261141212,212209185,16422931,21103107,48663566
20050429,29711060,13296400,76352476,123225458,104593703,273350131,199147031,14540296,19407407,49182924
20050531,32759039,14590704,84944019,121886402,107458954,278752307,199527244,16195548,21750044,52802231
20050630,30477981,13596350,83492743,119708418,100524565,266036400,201573460,13990176,21434437,54537516
20050729,35392207,18597872,93387384,133184717,105364190,274283100,206382786,14591090,22028640,54167872
20050831,38910682,17588685,86540550,128652670,105012556,293313890,187154857,13311170,20505632,54996679
20050930,44765369,18754200,81632148,128014354,103079370,273887462,182409383,14749721,20359163,55759838
20051031,48362757,16520894,87839102,129330852,101780893,273568122,196937195,15935628,22835429,52181610
20051130,57156526,20085362,89422946,140419061,101566767,294644576,202140566,16113514,23767609,55047400
20051230,60791406,19614400,85991097,129836297,95904343,270217599,194851332,21862875,23407126,56702294
20060131,64078692,18645120,86139797,127641000,98450055,290884337,191978524,23830491,23605853,55144272
20060228,58192939,15609597,89538655,125976800,99380050,277657625,188855906,23180385,24040616,58180131
20060331,53261071,15233010,89584886,129256303,99143261,278222250,196860134,20925229,25521979,62418657
20060428,59867258,14713027,84565591,127659524,98848151,246359052,187656671,23469785,25649212,66724868
20060531,50834863,14462308,80732290,123876561,103724597,231057248,201909077,17141325,24866620,66564952
20060630,48850623,16206920,73976821,119101344,101345268,234444600,200761722,17583874,26735183,65493516
20060731,57969064,11265377,71744494,117805557,104238847,242091720,185465988,16512393,24690150,61541855
20060831,57875236,12916013,70876367,123223304,104965005,256228794,186439111,18788567,21896363,59538684
20060929,65838146,13201320,74862912,124699488,104660487,268577000,205616658,21852066,22966021,62678575
20061031,69344724,15690147,77050800,139081480,109502149,282232507,205449897,22312908,24462346,63148417
20061130,78754455,16616974,78371789,138463876,109759967,288622306,192145953,23427095,23846133,70004124
20061229,72981065,16336440,81961379,146342097,113088157,291941220,192479395,24197311,23913841,70249253
20070131,73888544,15595380,83145085,149354801,112220952,302190810,198773112,22873285,25401954,70818585
20070228,72923244,16230536,80798083,139923865,108077691,275849485,201357288,23079079,25112886,68871264
20070330,80338627,16274110,72360716,141911164,111133872,266771640,193642974,24519850,24047367,70159948
20070430,86321810,25126778,74586290,151764168,120552115,286430232,197510378,24437529,23926773,73228293
20070531,104823913,28326520,76555825,158282558,122400011,293606294,196191444,25907603,24859788,79204667
20070629,106072530,28253330,77682488,156278042,120829300,276428600,197673310,23625786,25628190,75716480
20070731,114583889,32468357,73378858,150529035,120560445,271926200,188798349,23708167,26188752,81059332
20070831,120427886,33034714,75629380,158745893,124424117,269357885,179265984,24610363,26985553,75784950
20070928,133463804,38657250,54823600,160255945,132961213,275598300,177578109,25051584,26819488,82281923
20071031,165188308,37013030,53251900,160008135,142725940,344373710,183924543,27484445,29196490,76413461
20071130,159540899,37598429,48198342,144933307,143511672,314342750,191830351,24079175,29318461,71724330
20071231,174038832,38538240,45464402,148956936,141824658,332112400,190348572,24311490,30328648,67787010
20080131,118964655,32323200,51708585,147592760,136347643,303407548,203204009,19873633,29537391,64469740
20080229,109877078,26897658,44806231,157718872,135861742,253148925,198598478,18200309,26887522,63320524
20080331,126485349,29732100,47202647,159391871,141462610,264217800,210973338,18927581,28148707,56880630
20080430,153358321,32842178,48673008,165778915,136743589,265615116,229026276,19831680,30869561,63768302
20080530,166406341,34091042,46239358,177769373,133003872,263752458,228078254,23360348,31028194,62197765
20080630,148309478,31238580,39744208,162798466,120739456,251744010,221637176,20894583,30495119,49385491
20080731,140809990,32514809,40439987,173392423,119042147,234831136,231180984,21934273,27251697,43403072
20080829,150182558,34418676,46023182,164924673,120359701,249165696,232955659,22763074,29004322,46563662
20080930,100967133,31214040,43973285,158462086,122232014,239596130,235605823,20956833,28083069,40732551
20081031,95640517,24546344,40066813,124901290,101935233,198638145,219555201,14144668,24609792,36947398
20081128,82377606,18311126,39251549,109626173,108436323,179868486,219830579,12184731,22294848,30047073
20081231,75996920,21947840,39029443,113065425,104734635,172802160,219898265,11200903,22745310,30075267
20090130,80265632,25209252,36503211,122811000,98835070,152028627,184830650,10119135,19508977,29821527
20090227,79535378,27802685,35418118,123474626,94553779,143582592,193146460,8752387,18376703,21949144
20090331,93778603,31505760,39944990,129995181,101729219,163456260,204364959,11202734,20104131,24898635
20090430,112254201,34595257,44644510,136381384,99660664,180308327,197208799,14324207,21093712,27922780
20090529,121157459,33508248,39284455,140438073,113805302,185915151,194626303,14781255,21100378,32569980
20090630,127579527,36141120,40251224,137834400,111096754,211743160,188752176,14857443,19908806,30863415
20090731,146367540,37031768,44186066,154592550,115501309,209579052,194363306,17020435,21526560,31171197
20090831,150685387,35058410,46485650,154749856,113021646,219648114,198220958,16484974,22225955,36081877
20090930,166779051,40424880,45409398,156794835,124446635,228908000,189331637,17305030,24580214,39336293
20091030,169777803,51442710,42767335,158433658,123528919,246218025,191607165,17252654,24785975,34731432
20091130,180054539,58846720,46636680,165973739,132542753,261134949,210389913,18334808,26319961,38081054
20091231,190982609,59726880,49192919,171950620,132079317,268559280,203653693,19223324,25995334,39330804
20100129,174161768,55750514,47628540,160771871,125707069,247151591,203577490,16929076,25230894,44031899
20100226,185548393,52714758,53052854,165181221,121526137,251449117,206016000,18211382,26849908,47810604
20100331,213764460,60553420,54779614,166597135,126781820,256617075,209000845,18538124,26302673,54964027
20100430,237575712,61101636,59656439,165422892,123311876,267603824,201212169,17687813,26025154,54977050
20100528,233744873,55914009,57336560,160626910,118582421,226107046,189658599,16887650,25579439,48714995
20100630,229768127,48948480,47167537,158344331,115629396,199118577,178322827,13881670,24077608,47629572
20100730,235014082,52794089,47906893,161948083,127141581,223348564,189896932,15084433,24903176,49856743
20100831,222087174,55901995,46747448,155301160,129058510,203055950,186001801,14548705,24493315,44727660
20100930,259906488,70519940,52756736,166650305,135149716,209683380,194627995,13667481,27957060,48686054
20101029,276091070,74161338,51457801,178403052,142387125,228133021,196991751,14320384,27137605,51820091
20101130,285420064,78726005,50308743,175744399,146682888,216091122,196700827,14142333,29499054,46780397
20101231,297089050,81180000,57457064,182328888,152720176,234527730,192098336,15448390,31521470,47873431
20110131,312608060,76508319,60259448,201262482,145939837,232956041,199721004,16681260,31359956,50969138
20110228,325404593,78260532,61406623,197418488,146652743,223335314,185152448,17460899,32695496,53020675
20110331,322255833,81418760,60113914,198869748,152258792,214063090,181716908,16745369,32030575,54491733
20110429,323784468,88514540,59368263,206606496,154829335,218577321,191673200,16924599,35337605,58899580
20110531,321657522,88912338,57977943,204608004,152945060,210903503,192509897,17469415,36110816,57607598
20110630,311133875,92838465,57671114,207781360,154043902,217776000,184531838,15532117,35567928,54580671
20110729,362010503,101009616,55617118,217179466,155692165,229564488,183038638,13685055,34258867,52224753
20110831,356772420,97700430,53149138,205308331,161759963,222861876,184705466,12465203,34107252,49549411
20110930,354351915,98384650,51418278,208843394,155124246,209324900,178880460,11864956,35592267,44843477
20111031,376206175,97094522,56001654,217608241,155170570,224016407,195493251,14437251,36077636,48897365
20111130,355220129,87444642,60460297,221580184,152694927,215183616,203006919,13460368,37122901,51052743
20111230,377546670,78760505,64807519,216724278,158918103,217824415,204659893,13895836,36238284,54516214
20120131,425608267,88483422,68430204,223416012,153376297,247779468,210139408,15283203,35781609,55133098
20120229,505754783,81146566,73332390,227943575,158107431,266323072,202331099,16318505,37339283,55891789
20120330,560568449,91129496,76635412,241754815,167601122,270942000,208357726,17022083,39404748,55616415
20120430,546057488,104476975,78974053,238863467,172325523,268953725,200333764,16645027,38267739,57526963
20120531,540213351,95921491,75522863,222507052,168587144,245221279,223832429,15404712,37350285,52141301
20120629,547363344,103214205,81109779,225598401,176392731,256374790,235900479,15918368,41072775,55654341
20120731,572530098,105466765,79869943,223961045,181877730,247058710,251836957,15185641,41582942,55565390
20120831,623599958,112234178,85547334,222669720,168371958,258376296,245645077,15470270,42314095,53678377
20120928,626550334,115206965,91004274,237068674,170757977,250638720,248074567,16057109,43304176,52321382
20121031,560012771,105491026,92526790,219805672,166758323,240205825,252175529,16844246,42563494,53117184
20121130,550568242,114168316,97291298,214766187,170077343,224004136,242091197,17101909,45186910,56012840
20121231,499695994,113894980,92476821,216438475,162587123,223667028,228245589,18618894,43010342,56827243
20130131,427731519,120683291,100057379,229455303,167027433,229927925,233999398,18869264,44582988,55703668
20130228,414500192,120234125,102419762,223827043,172564121,232859611,236775946,19715852,44196473,58149165
20130328,416142010,121252945,103659376,237724983,180229676,238823145,246373510,21841745,46303327,65015064
20130430,415615004,115545226,108717243,224575126,188527449,276421642,255685665,22627275,47315708,69351030
20130531,422143299,122551420,114906213,230651328,178105662,291453634,246210952,21585961,47873994,75124593
20130628,360224506,126904330,113167866,211901621,178640113,287690760,244079744,22883011,48284150,77719282
20130731,411122147,137622598,115446708,213651876,177680812,265225799,255384283,23746900,51275435,79292064
20130830,442634274,128375271,106702679,199663297,169257820,278220530,239131960,22957625,48869179,78401820
20130930,428699798,143189125,108650802,202850976,167927874,277754880,240773526,25964131,50310748,88647170
20131031,470294879,166628908,111572985,194595906,174738073,295559807,248982066,27103873,51556796,98064617
20131129,500317319,180173257,113601672,195106236,177475945,318308020,262801787,28177700,55154330,100882565
20131231,500680634,183044615,115953411,203673646,182421779,310503000,254622899,29715612,52335712,102565827
20140131,446529702,164733763,108222245,191848674,167010208,314099396,241647453,29393991,49407164,94127003
20140228,469400282,166527622,115516861,192825113,168305113,318000736,241712168,34212124,51378918,95839773
20140331,462533003,154727895,109306226,200447740,170331823,338577400,246805845,32720770,49125575,92495793
20140430,508292340,139950590,108777392,198863594,179279515,333720645,257235250,30704964,50885087,94084610
20140530,545254173,143825191,109723912,186606058,179806937,338181267,247747461,32092321,50851102,98627681
20140630,556573661,150048360,110722272,183478412,186179952,343566300,241996027,35990055,50474167,92779297
20140731,572440085,144612643,110571834,191208459,172322954,355631883,237192856,34443169,51517312,86819454
20140829,613756368,156648690,125843707,191836942,182980749,374336340,243382178,35849268,52994658,91373728
20140930,591015721,149289720,123474884,189372889,187103518,382702913,246425569,34507751,54850434,91791684
20141031,633402720,141429808,131254313,162700094,183439132,387001948,245781067,34971579,58384318,89052086
20141128,697505421,156792356,130992004,160493162,196360466,394090802,282098788,36654621,62603718,95789275
