PERMNO,date,PRC,SHROUT
12060,19990129,104.87500,3276835
12060,19990226,100.31250,3276835
12060,19990331,110.62500,3275234
12060,19990430,105.37500,3275234
12060,19990528,101.68750,3271878
12060,19990630,113.00000,3271878
12060,19990730,109.00000,3271878
12060,19990831,112.31250,3271878
12060,19990930,118.56250,3271878
12060,19991029,135.50000,3277652
12060,19991130,130.12500,3277652
12060,19991231,154.75000,3277652
12060,20000131,133.62500,3277652
12060,20000229,132.37500,3277652
12060,20000331,155.62500,3295312
12060,20000428,157.25000,3295312
12060,20000531,52.68750,9893426
12060,20000630,53.00000,9893426
12060,20000731,51.43750,9893426
12060,20000831,58.68750,9901578
12060,20000929,57.68750,9908802
12060,20001031,54.81250,9908802
12060,20001130,49.56250,9908802
12060,20001229,47.93750,9908802
12060,20010131,45.98000,9908802
12060,20010228,46.50000,9908802
12060,20010330,41.86000,9932929
12060,20010430,48.53000,9933071
12060,20010531,49.00000,9933071
12060,20010629,48.75000,9933071
12060,20010731,43.50000,9934846
12060,20010831,40.98000,9934846
12060,20010928,37.20000,9934846
12060,20011031,36.41000,9934846
12060,20011130,38.50000,9927381
12060,20011231,40.08000,9932753
12060,20020131,37.15000,9932753
12060,20020228,38.50000,9937500
12060,20020328,37.45000,9935630
12060,20020430,31.55000,9935630
12060,20020531,31.14000,9937771
12060,20020628,29.05000,9937771
12060,20020731,32.20000,9937771
12060,20020830,30.15000,9949471
12060,20020930,24.65000,9949471
12060,20021031,25.25000,9949471
12060,20021129,27.12000,9949471
12060,20021231,24.35000,9949471
12060,20030131,23.14000,9949471
12060,20030228,24.05000,9961925
12060,20030331,25.50000,9974910
12060,20030430,29.45000,9993192
12060,20030530,28.70000,9994362
12060,20030630,28.68000,9994362
12060,20030731,28.44000,9994362
12060,20030829,29.57000,10018846
12060,20030930,29.81000,11144681
12060,20031031,29.01000,11144681
12060,20031128,28.67000,11144681
12060,20031231,30.98000,10040860
12060,20040130,33.63000,10007163
12060,20040227,32.52000,10007163
12060,20040331,30.52000,10082220
12060,20040430,29.95000,11144681
12060,20040528,31.12000,11144681
12060,20040630,32.40000,10558247
12060,20040730,33.25000,10558247
12060,20040831,32.79000,10558247
12060,20040930,33.58000,10572133
12060,20041029,34.12000,10572133
12060,20041130,35.36000,10572133
12060,20041231,36.50000,10572133
12060,20050131,36.13000,10572133
12060,20050228,35.20000,10599919
12060,20050331,36.06000,10605920
12060,20050429,36.20000,10605920
12060,20050531,36.48000,10605920
12060,20050630,34.65000,10605920
12060,20050729,34.50000,10605920
12060,20050831,33.61000,10600811
12060,20050930,33.67000,10600811
12060,20051031,33.91000,10566167
12060,20051130,35.72000,10566167
12060,20051230,35.05000,10566167
12060,20060131,32.75000,10566167
12060,20060228,32.87000,10566167
12060,20060331,34.78000,10398398
12060,20060428,34.59000,10398398
12060,20060531,34.26000,10398398
12060,20060630,32.96000,10398398
12060,20060731,32.69000,10323359
12060,20060831,34.06000,10323359
12060,20060929,35.30000,10323359
12060,20061031,35.11000,10323359
12060,20061130,35.28000,10308102
12060,20061229,37.21000,10308102
12060,20070131,36.05000,10308102
12060,20070228,34.91000,10283130
12060,20070330,35.36000,10283130
12060,20070430,36.86000,10288157
12060,20070531,37.58000,10288157
12060,20070629,38.28000,10288157
12060,20070731,38.76000,10246177
12060,20070831,38.87000,10246177
12060,20070928,41.40000,10246177
12060,20071031,41.16000,10246177
12060,20071130,38.29000,10106209
12060,20071231,37.07000,10106209
12060,20080131,35.36000,10106209
12060,20080229,33.14000,9985669
12060,20080331,37.01000,9981861
12060,20080430,32.70000,9967400
12060,20080530,30.72000,9967400
12060,20080630,26.69000,9967400
12060,20080731,28.29000,9948028
12060,20080829,28.10000,9948028
12060,20080930,25.50000,9948028
12060,20081031,19.51000,9955456
12060,20081128,17.17000,9955456
12060,20081231,16.20000,10522186
12060,20090130,12.13000,10522186
12060,20090227,8.51000,10569000
12060,20090331,10.11000,10569000
12060,20090430,12.65000,10569000
12060,20090529,13.48000,10589575
12060,20090630,11.72000,10589575
12060,20090731,13.40000,10589575
12060,20090831,13.90000,10626842
12060,20090930,16.42000,10626842
12060,20091030,14.26000,10626842
12060,20091130,16.02000,10647495
12060,20091231,15.13000,10647495
12060,20100129,16.08000,10647495
12060,20100226,16.06000,10669821
12060,20100331,18.20000,10672872
12060,20100430,18.86000,10672872
12060,20100528,16.35000,10676518
12060,20100630,14.42000,10676518
12060,20100730,16.12000,10676518
12060,20100831,14.48000,10691220
12060,20100930,16.25000,10691220
12060,20101029,16.02000,10691220
12060,20101130,15.83000,10654718
12060,20101231,18.29000,10654718
12060,20110131,20.14000,10654718
12060,20110228,20.92000,10618489
12060,20110331,20.05000,10618489
12060,20110429,20.45000,10618489
12060,20110531,19.64000,10605447
12060,20110630,18.86000,10605447
12060,20110729,17.91000,10600337
12060,20110831,16.31000,10600337
12060,20110930,15.22000,10600337
12060,20111031,16.71000,10600337
12060,20111130,15.91000,10557351
12060,20111230,17.91000,10557351
12060,20120131,18.71000,10557351
12060,20120229,19.05000,10581257
12060,20120330,20.07000,10581257
12060,20120430,19.58000,10581257
12060,20120531,19.09000,10595312
12060,20120629,20.84000,10595312
12060,20120731,20.75000,10558844
12060,20120831,20.71000,10558844
12060,20120928,22.71000,10558844
12060,20121031,21.06000,10558844
12060,20121130,21.13000,10486300
12060,20121231,20.99000,10486300
12060,20130131,22.28000,10486300
12060,20130228,23.22000,10398271
12060,20130328,23.12000,10370925
12060,20130430,22.29000,10370925
12060,20130531,23.32000,10340120
12060,20130628,23.19000,10340120
12060,20130731,24.37000,10183781
12060,20130830,23.14000,10183781
12060,20130930,23.89000,10183781
12060,20131031,26.14000,10183781
12060,20131129,26.66000,10117369
12060,20131231,28.03000,10117369
12060,20140131,25.13000,10117369
12060,20140228,25.47000,10033130
12060,20140331,25.89000,10025001
12060,20140430,26.89000,10025001
12060,20140530,26.79000,10027765
12060,20140630,26.28000,10027765
12060,20140731,25.15000,10033904
12060,20140829,25.98000,10033904
12060,20140930,25.62000,10033904
12060,20141031,25.81000,10033904
12060,20141128,26.49000,10042192
12060,20141231,25.27000,10042192
12060,20150130,23.89000,10042192
12060,20150227,25.99000,10064909
12060,20150331,24.81000,10067496
12060,20150430,27.08000,10067496
12060,20150529,27.27000,10075929
12060,20150630,26.57000,10075929
12060,20150731,26.10000,10096429
12060,20150831,24.82000,10096429
12060,20150930,25.22000,10096429
12060,20151030,28.92000,10096429
12060,20151130,29.94000,10109239
12060,20151231,31.15000,10109239
12060,20160129,29.10000,10109239
12060,20160229,29.14000,9330607
12060,20160331,31.79000,9285131
12060,20160429,30.75000,9285131
12060,20160531,30.23000,9195657
12060,20160630,31.48000,9195657
12060,20160729,31.14000,9195657
12060,20160831,31.24000,8961233
12060,20160930,29.62000,8961233
12060,20161031,29.10000,8961233
12060,20161130,30.76000,8846390
12060,20161230,31.60000,8846390
12060,20170131,29.70000,8846390
12060,20170228,29.81000,8724783
12060,20170331,29.80000,8708714
12060,20170428,28.99000,8708714
12060,20170531,27.38000,8683963
12060,20170630,27.01000,8683963
12060,20170731,25.61000,8657946
12060,20170831,24.55000,8657946
12060,20170929,24.18000,8657946
12060,20171031,20.16000,8672085
12060,20171130,18.29000,8672085
12060,20171229,17.45000,8672085
12060,20180131,16.17000,8672085
12060,20180228,14.11000,8682576
12060,20180329,13.48000,8683512
12060,20180430,14.07000,8683512
12060,20180531,14.08000,8685338
12060,20180629,13.61000,8685338
12060,20180731,13.63000,8691081
12060,20180831,12.94000,8691081
12060,20180928,11.29000,8691081
12060,20181031,10.10000,8698115
12060,20181130,7.50000,8698115
12060,20181231,7.57000,8698115
12490,19990129,183.25000,922852
12490,19990226,169.75000,915907
12490,19990331,177.25000,915907
12490,19990430,209.18750,920651
12490,19990528,116.00000,1814836
12490,19990630,129.25000,1814836
12490,19990730,125.68750,1814836
12490,19990831,124.56250,1809090
12490,19990930,121.00000,1809090
12490,19991029,98.25000,1809090
12490,19991130,103.06250,1802604
12490,19991231,107.87500,1802604
12490,20000131,112.25000,1802604
12490,20000229,102.75000,1802604
12490,20000331,118.00000,1793761
12490,20000428,111.50000,1793761
12490,20000531,107.37500,1772837
12490,20000630,109.56250,1772837
12490,20000731,112.43750,1772837
12490,20000831,132.00000,1760705
12490,20000929,112.50000,1760705
12490,20001031,98.50000,1760705
12490,20001130,93.50000,1760705
12490,20001229,85.00000,1754380
12490,20010131,112.00000,1754380
12490,20010228,99.90000,1754380
12490,20010330,96.18000,1760804
12490,20010430,115.14000,1760804
12490,20010531,111.80000,1737418
12490,20010629,113.00000,1737418
12490,20010731,105.21000,1737418
12490,20010831,99.95000,1736660
12490,20010928,91.72000,1736660
12490,20011031,108.07000,1736660
12490,20011130,115.59000,1722642
12490,20011231,120.96000,1722642
12490,20020131,107.89000,1722642
12490,20020228,98.12000,1722642
12490,20020328,104.00000,1723200
12490,20020430,83.76000,1723200
12490,20020531,80.45000,1711889
12490,20020628,72.00000,1711889
12490,20020731,70.40000,1711889
12490,20020830,75.38000,1694323
12490,20020930,58.31000,1694323
12490,20021031,78.94000,1694323
12490,20021129,86.92000,1690088
12490,20021231,77.50000,1690088
12490,20030131,78.20000,1690088
12490,20030228,77.95000,1690088
12490,20030331,78.43000,1722600
12490,20030430,84.90000,1722600
12490,20030530,88.04000,1728000
12490,20030630,82.50000,1728000
12490,20030731,81.25000,1730000
12490,20030829,82.01000,1730181
12490,20030930,88.33000,1730181
12490,20031031,89.48000,1730181
12490,20031128,90.54000,1720423
12490,20031231,92.68000,1720423
12490,20040130,99.23000,1720423
12490,20040227,96.50000,1720423
12490,20040331,91.84000,1699416
12490,20040430,88.17000,1699416
12490,20040528,88.59000,1685371
12490,20040630,88.15000,1685371
12490,20040730,87.07000,1675192
12490,20040831,84.69000,1675192
12490,20040930,85.74000,1675192
12490,20041029,89.75000,1664697
12490,20041130,94.24000,1664697
12490,20041231,98.58000,1664697
12490,20050131,93.42000,1664697
12490,20050228,92.58000,1632629
12490,20050331,91.38000,1632629
12490,20050429,76.38000,1613321
12490,20050531,75.55000,1613321
12490,20050630,74.20000,1613321
12490,20050729,83.46000,1595791
12490,20050831,80.62000,1595791
12490,20050930,80.22000,1595791
12490,20051031,81.88000,1579517
12490,20051130,88.90000,1579517
12490,20051230,82.20000,1579517
12490,20060131,81.30000,1570000
12490,20060228,80.24000,1570000
12490,20060331,82.47000,1567313
12490,20060428,82.34000,1550395
12490,20060531,79.90000,1550395
12490,20060630,76.82000,1550395
12490,20060731,77.41000,1521839
12490,20060831,80.97000,1521839
12490,20060929,81.94000,1521839
12490,20061031,92.33000,1506352
12490,20061130,91.92000,1506352
12490,20061229,97.15000,1506352
12490,20070131,99.15000,1506352
12490,20070228,92.94000,1505529
12490,20070330,94.26000,1505529
12490,20070430,102.21000,1484827
12490,20070531,106.60000,1484827
12490,20070629,105.25000,1484827
12490,20070731,110.65000,1360407
12490,20070831,116.69000,1360407
12490,20070928,117.80000,1360407
12490,20071031,116.12000,1377955
12490,20071130,105.18000,1377955
12490,20071231,108.10000,1377955
12490,20080131,107.11000,1377955
12490,20080229,113.86000,1385200
12490,20080331,115.14000,1384331
12490,20080430,120.70000,1373479
12490,20080530,129.42999,1373479
12490,20080630,118.53000,1373479
12490,20080731,127.98000,1354840
12490,20080829,121.73000,1354840
12490,20080930,116.96000,1354840
12490,20081031,92.97000,1343458
12490,20081128,81.60000,1343458
12490,20081231,84.16000,1343458
12490,20090130,91.65000,1340000
12490,20090227,92.03000,1341678
12490,20090331,96.89000,1341678
12490,20090430,103.21000,1321397
12490,20090529,106.28000,1321397
12490,20090630,104.42000,1320000
12490,20090731,117.93000,1310884
12490,20090831,118.05000,1310884
12490,20090930,119.61000,1310884
12490,20091030,120.61000,1313603
12490,20091130,126.35000,1313603
12490,20091231,130.89999,1313603
12490,20100129,122.39000,1313603
12490,20100226,127.16000,1299003
12490,20100331,128.25000,1299003
12490,20100430,129.00000,1282348
12490,20100528,125.26000,1282348
12490,20100630,123.48000,1282348
12490,20100730,128.39999,1261278
12490,20100831,123.13000,1261278
12490,20100930,134.14000,1242361
12490,20101029,143.60001,1242361
12490,20101130,141.46001,1242361
12490,20101231,146.75999,1242361
12490,20110131,162.00000,1242361
12490,20110228,161.88000,1219536
12490,20110331,163.07001,1219536
12490,20110429,170.58000,1211200
12490,20110531,168.92999,1211200
12490,20110630,171.55000,1211200
12490,20110729,181.85001,1194278
12490,20110831,171.91000,1194278
12490,20110930,174.87000,1194278
12490,20111031,184.63000,1178618
12490,20111130,188.00000,1178618
12490,20111230,183.88000,1178618
12490,20120131,192.60001,1160000
12490,20120229,196.73000,1158662
12490,20120330,208.64999,1158662
12490,20120430,207.08000,1153484
12490,20120531,192.89999,1153484
12490,20120629,195.58000,1153484
12490,20120731,195.98000,1142775
12490,20120831,194.85001,1142775
12490,20120928,207.45000,1142775
12490,20121031,194.53000,1129932
12490,20121130,190.07001,1129932
12490,20121231,191.55000,1129932
12490,20130131,203.07001,1129932
12490,20130228,200.83000,1114510
12490,20130328,213.30000,1114510
12490,20130430,202.53999,1108794
12490,20130531,208.02000,1108794
12490,20130628,191.11000,1108794
12490,20130731,195.03999,1095426
12490,20130830,182.27000,1095426
12490,20130930,185.17999,1095426
12490,20131031,179.21001,1085854
12490,20131129,179.67999,1085854
12490,20131231,187.57001,1085854
12490,20140131,176.67999,1085854
12490,20140228,185.17000,1041341
12490,20140331,192.49001,1041341
12490,20140430,196.47000,1012183
12490,20140530,184.36000,1012183
12490,20140630,181.27000,1012183
12490,20140731,191.67000,997592
12490,20140829,192.30000,997592
12490,20140930,189.83000,997592
12490,20141031,164.39999,989660
12490,20141128,162.17000,989660
12490,20141231,160.44000,989660
12490,20150130,153.31000,991000
12490,20150227,161.94000,988424
12490,20150331,160.50000,988424
12490,20150430,171.28999,984734
12490,20150529,169.64999,984734
12490,20150630,162.66000,984734
12490,20150731,161.99001,979530
12490,20150831,147.89000,979530
12490,20150930,144.97000,979530
12490,20151030,140.08000,970110
12490,20151130,139.42000,970110
12490,20151231,137.62000,970110
12490,20160129,124.79000,970110
12490,20160229,131.03000,960881
12490,20160331,151.45000,960881
12490,20160429,145.94000,959962
12490,20160531,153.74001,959962
12490,20160630,151.78000,959962
12490,20160729,160.62000,955844
12490,20160831,158.88000,955844
12490,20160930,158.85001,955844
12490,20161031,153.69000,950855
12490,20161130,162.22000,950855
12490,20161230,165.99001,950855
12490,20170131,174.52000,950855
12490,20170228,179.82001,943213
12490,20170331,174.14000,943213
12490,20170428,160.28999,939497
12490,20170531,152.63000,939497
12490,20170630,153.83000,939497
12490,20170731,144.67000,931940
12490,20170831,143.03000,931940
12490,20170929,145.08000,931940
12490,20171031,154.06000,925791
12490,20171130,153.97000,925791
12490,20171229,153.42000,925791
12490,20180131,163.70000,925791
12490,20180228,155.83000,921168
12490,20180329,153.42999,921168
12490,20180430,144.96001,917968
12490,20180531,141.31000,917968
12490,20180629,139.70000,917968
12490,20180731,144.92999,912768
12490,20180831,146.48000,912768
12490,20180928,151.21001,912768
12490,20181031,115.43000,908794
12490,20181130,124.27000,908794
12490,20181231,113.67000,908794
14008,19990129,127.81250,254512
14008,19990226,124.87500,254512
14008,19990331,74.87500,509024
14008,19990430,61.43750,509024
14008,19990528,63.25000,509024
14008,19990630,60.87500,509024
14008,19990730,76.87500,509024
14008,19990831,83.18750,509024
14008,19990930,81.50000,509024
14008,19991029,79.75000,509024
14008,19991130,45.56250,1018048
14008,19991231,60.06250,1018048
14008,20000131,63.68750,1018048
14008,20000229,68.18750,1018048
14008,20000331,61.37500,1026769
14008,20000428,56.00000,1026769
14008,20000531,63.62500,1026769
14008,20000630,70.25000,1028267
14008,20000731,64.93750,1028267
14008,20000831,75.81250,1028267
14008,20000929,69.82813,1032982
14008,20001031,57.93750,1032982
14008,20001130,63.62500,1032982
14008,20001229,63.93750,1037400
14008,20010131,70.31250,1037400
14008,20010228,72.06250,1041538
14008,20010330,60.18750,1043163
14008,20010430,61.14000,1043163
14008,20010531,66.38000,1043163
14008,20010629,60.68000,1047141
14008,20010731,62.71000,1047141
14008,20010831,64.30000,1047141
14008,20010928,58.77000,1045511
14008,20011031,56.82000,1045511
14008,20011130,66.43000,1045511
14008,20011231,56.44000,1045800
14008,20020131,55.50000,1045800
14008,20020228,57.98000,1047800
14008,20020328,59.68000,1038989
