gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,bkvlps,csho,costat
001602,19991231,1999,INDL,C,D,STD,AMGN,USD,2.9703,1017.9000,A
001602,20001231,2000,INDL,C,D,STD,AMGN,USD,4.1590,1037.4000,A
001602,20011231,2001,INDL,C,D,STD,AMGN,USD,4.9887,1045.8000,A
001602,20021231,2002,INDL,C,D,STD,AMGN,USD,14.1851,1289.1000,A
001602,20031231,2003,INDL,C,D,STD,AMGN,USD,15.1041,1283.7000,A
001602,20041231,2004,INDL,C,D,STD,AMGN,USD,15.6389,1260.0000,A
001602,20051231,2005,INDL,C,D,STD,AMGN,USD,16.7083,1224.0000,A
001602,20061231,2006,INDL,C,D,STD,AMGN,USD,16.2642,1166.0000,A
001602,20071231,2007,INDL,C,D,STD,AMGN,USD,16.4388,1087.0000,A
001602,20081231,2008,INDL,C,D,STD,AMGN,USD,19.4709,1047.0000,A
001602,20091231,2009,INDL,C,D,STD,AMGN,USD,22.7809,995.0000,A
001602,20101231,2010,INDL,C,D,STD,AMGN,USD,25.6910,932.0000,A
001602,20111231,2011,INDL,C,D,STD,AMGN,USD,23.9178,795.6000,A
001602,20121231,2012,INDL,C,D,STD,AMGN,USD,25.2016,756.3000,A
001602,20131231,2013,INDL,C,D,STD,AMGN,USD,29.2817,754.6000,A
001602,20141231,2014,INDL,C,D,STD,AMGN,USD,33.9006,760.4000,A
001602,20151231,2015,INDL,C,D,STD,AMGN,USD,37.2454,754.0000,A
001602,20161231,2016,INDL,C,D,STD,AMGN,USD,40.4701,738.2000,A
001602,20171231,2017,INDL,C,D,STD,AMGN,USD,34.9502,722.2000,A
001602,20181231,2018,INDL,C,D,STD,AMGN,USD,19.8539,629.6000,A
002285,19991231,1999,INDL,C,D,STD,BA,USD,13.1624,870.8170,A
002285,20001231,2000,INDL,C,D,STD,BA,USD,13.1766,836.3290,A
002285,20011231,2001,INDL,C,D,STD,BA,USD,13.5671,797.8890,A
002285,20021231,2002,INDL,C,D,STD,BA,USD,9.6241,799.6610,A
002285,20031231,2003,INDL,C,D,STD,BA,USD,10.1702,800.2830,A
002285,20041231,2004,INDL,C,D,STD,BA,USD,14.2284,793.2020,A
002285,20051231,2005,INDL,C,D,STD,BA,USD,14.5403,760.5770,A
002285,20061231,2006,INDL,C,D,STD,BA,USD,6.2533,757.8360,A
002285,20071231,2007,INDL,C,D,STD,BA,USD,12.2224,736.6810,A
002285,20081231,2008,INDL,C,D,STD,BA,USD,-1.8535,698.1380,A
002285,20091231,2009,INDL,C,D,STD,BA,USD,2.9300,726.2910,A
002285,20101231,2010,INDL,C,D,STD,BA,USD,3.7619,735.2590,A
002285,20111231,2011,INDL,C,D,STD,BA,USD,4.7200,744.7050,A
002285,20121231,2012,INDL,C,D,STD,BA,USD,7.7644,755.6310,A
002285,20131231,2013,INDL,C,D,STD,BA,USD,19.9029,747.3790,A
002285,20141231,2014,INDL,C,D,STD,BA,USD,12.2607,706.7280,A
002285,20151231,2015,INDL,C,D,STD,BA,USD,9.5031,666.6240,A
002285,20161231,2016,INDL,C,D,STD,BA,USD,1.3238,617.1520,A
002285,20171231,2017,INDL,C,D,STD,BA,USD,0.6006,591.0390,A
002285,20181231,2018,INDL,C,D,STD,BA,USD,0.5972,567.6410,A
005047,19991231,1999,INDL,C,D,STD,GE,USD,12.9556,3284.8430,A
005047,20001231,2000,INDL,C,D,STD,GE,USD,5.0838,9932.0060,A
005047,20011231,2001,INDL,C,D,STD,GE,USD,5.5233,9925.9380,A
005047,20021231,2002,INDL,C,D,STD,GE,USD,6.3898,9969.8940,A
005047,20031231,2003,INDL,C,D,STD,GE,USD,7.8683,10063.1200,A
005047,20041231,2004,INDL,C,D,STD,GE,USD,10.4683,10586.3580,A
005047,20051231,2005,INDL,C,D,STD,GE,USD,10.4300,10484.2680,A
005047,20061231,2006,INDL,C,D,STD,GE,USD,10.9283,10277.3730,A
005047,20071231,2007,INDL,C,D,STD,GE,USD,11.5702,9987.5990,A
005047,20081231,2008,INDL,C,D,STD,GE,USD,9.9332,10536.8970,A
005047,20091231,2009,INDL,C,D,STD,GE,USD,10.9997,10663.0750,A
005047,20101231,2010,INDL,C,D,STD,GE,USD,11.2041,10615.3760,A
005047,20111231,2011,INDL,C,D,STD,GE,USD,11.0128,10573.0170,A
005047,20121231,2012,INDL,C,D,STD,GE,USD,11.8230,10405.6250,A
005047,20131231,2013,INDL,C,D,STD,GE,USD,12.9776,10060.8810,A
005047,20141231,2014,INDL,C,D,STD,GE,USD,12.7428,10057.3800,A
005047,20151231,2015,INDL,C,D,STD,GE,USD,10.4771,9379.2880,A
005047,20161231,2016,INDL,C,D,STD,GE,USD,8.6727,8742.6140,A
005047,20171231,2017,INDL,C,D,STD,GE,USD,7.4024,8680.5710,A
005047,20181231,2018,INDL,C,D,STD,GE,USD,3.5594,8702.2270,A
005878,19991231,1999,INDL,C,D,STD,ITW,USD,16.0211,300.5680,A
005878,20001231,2000,INDL,C,D,STD,ITW,USD,17.8576,302.4480,A
005878,20011231,2001,INDL,C,D,STD,ITW,USD,19.8104,304.9270,A
005878,20021231,2002,INDL,C,D,STD,ITW,USD,21.6877,306.5830,A
005878,20031231,2003,INDL,C,D,STD,ITW,USD,25.5132,308.6360,A
005878,20041231,2004,INDL,C,D,STD,ITW,USD,26.1016,292.2280,A
005878,20051231,2005,INDL,C,D,STD,ITW,USD,26.8752,280.8130,A
005878,20061231,2006,INDL,C,D,STD,ITW,USD,16.1387,558.7500,A
005878,20071231,2007,INDL,C,D,STD,ITW,USD,17.6408,530.0970,A
005878,20081231,2008,INDL,C,D,STD,ITW,USD,15.3541,499.1150,A
005878,20091231,2009,INDL,C,D,STD,ITW,USD,17.5345,502.3360,A
005878,20101231,2010,INDL,C,D,STD,ITW,USD,18.8255,497.7450,A
005878,20111231,2011,INDL,C,D,STD,ITW,USD,20.7147,483.6080,A
005878,20121231,2012,INDL,C,D,STD,ITW,USD,23.2083,455.0520,A
005878,20131231,2013,INDL,C,D,STD,ITW,USD,22.5527,430.2360,A
005878,20141231,2014,INDL,C,D,STD,ITW,USD,17.8072,382.9360,A
005878,20151231,2015,INDL,C,D,STD,ITW,USD,14.3621,363.7360,A
005878,20161231,2016,INDL,C,D,STD,ITW,USD,12.2629,346.9000,A
005878,20171231,2017,INDL,C,D,STD,ITW,USD,13.4261,341.5000,A
005878,20181231,2018,INDL,C,D,STD,ITW,USD,9.9177,328.1000,A
006008,19991231,1999,INDL,C,D,STD,INTC,USD,9.7975,3334.0000,A
006008,20001231,2000,INDL,C,D,STD,INTC,USD,5.5530,6721.0000,A
006008,20011231,2001,INDL,C,D,STD,INTC,USD,5.3558,6690.0000,A
006008,20021231,2002,INDL,C,D,STD,INTC,USD,5.3944,6575.0000,A
006008,20031231,2003,INDL,C,D,STD,INTC,USD,5.8341,6487.0000,A
006008,20041231,2004,INDL,C,D,STD,INTC,USD,6.1697,6253.0000,A
006008,20051231,2005,INDL,C,D,STD,INTC,USD,6.1129,5919.0000,A
006008,20061231,2006,INDL,C,D,STD,INTC,USD,6.3739,5766.0000,A
006008,20071231,2007,INDL,C,D,STD,INTC,USD,7.3499,5818.0000,A
006008,20081231,2008,INDL,C,D,STD,INTC,USD,7.0277,5562.0000,A
006008,20091231,2009,INDL,C,D,STD,INTC,USD,7.5510,5523.0000,A
006008,20101231,2010,INDL,C,D,STD,INTC,USD,8.9693,5511.0000,A
006008,20111231,2011,INDL,C,D,STD,INTC,USD,9.1822,5000.0000,A
006008,20121231,2012,INDL,C,D,STD,INTC,USD,10.3566,4944.0000,A
006008,20131231,2013,INDL,C,D,STD,INTC,USD,11.7286,4967.0000,A
006008,20141231,2014,INDL,C,D,STD,INTC,USD,11.7660,4748.0000,A
006008,20151231,2015,INDL,C,D,STD,INTC,USD,12.9280,4725.0000,A
006008,20161231,2016,INDL,C,D,STD,INTC,USD,14.0013,4730.0000,A
006008,20171231,2017,INDL,C,D,STD,INTC,USD,14.7256,4687.0000,A
006008,20181231,2018,INDL,C,D,STD,INTC,USD,16.5109,4516.0000,A
006066,19991231,1999,INDL,C,D,STD,IBM,USD,11.3574,1784.2160,A
006066,20001231,2000,INDL,C,D,STD,IBM,USD,11.6914,1742.9000,A
006066,20011231,2001,INDL,C,D,STD,IBM,USD,13.7036,1723.1940,A
006066,20021231,2002,INDL,C,D,STD,IBM,USD,13.2271,1722.3670,A
006066,20031231,2003,INDL,C,D,STD,IBM,USD,16.4437,1694.5090,A
006066,20041231,2004,INDL,C,D,STD,IBM,USD,18.0768,1645.5920,A
006066,20051231,2005,INDL,C,D,STD,IBM,USD,21.0282,1573.9800,A
006066,20061231,2006,INDL,C,D,STD,IBM,USD,18.9222,1506.4830,A
006066,20071231,2007,INDL,C,D,STD,IBM,USD,20.5525,1385.2340,A
006066,20081231,2008,INDL,C,D,STD,IBM,USD,10.0553,1339.0960,A
006066,20091231,2009,INDL,C,D,STD,IBM,USD,17.3419,1305.3370,A
006066,20101231,2010,INDL,C,D,STD,IBM,USD,18.7672,1227.9930,A
006066,20111231,2011,INDL,C,D,STD,IBM,USD,17.3128,1163.1830,A
006066,20121231,2012,INDL,C,D,STD,IBM,USD,16.8790,1117.3680,A
006066,20131231,2013,INDL,C,D,STD,IBM,USD,21.6163,1054.3910,A
006066,20141231,2014,INDL,C,D,STD,IBM,USD,11.9815,990.5240,A
006066,20151231,2015,INDL,C,D,STD,IBM,USD,14.7681,965.7290,A
006066,20161231,2016,INDL,C,D,STD,IBM,USD,19.2902,945.8670,A
006066,20171231,2017,INDL,C,D,STD,IBM,USD,19.0787,922.1790,A
006066,20181231,2018,INDL,C,D,STD,IBM,USD,18.8195,892.4790,A
006266,19991231,1999,INDL,C,D,STD,JNJ,USD,11.6667,1389.6830,A
006266,20001231,2000,INDL,C,D,STD,JNJ,USD,13.5218,1390.9370,A
006266,20011231,2001,INDL,C,D,STD,JNJ,USD,7.9525,3047.2150,A
006266,20021231,2002,INDL,C,D,STD,JNJ,USD,7.6465,2968.2950,A
006266,20031231,2003,INDL,C,D,STD,JNJ,USD,9.0530,2967.9730,A
006266,20041231,2004,INDL,C,D,STD,JNJ,USD,10.7078,2971.0230,A
006266,20051231,2005,INDL,C,D,STD,JNJ,USD,12.7320,2974.4780,A
006266,20061231,2006,INDL,C,D,STD,JNJ,USD,13.5897,2893.2300,A
006266,20071231,2007,INDL,C,D,STD,JNJ,USD,15.2520,2840.2230,A
006266,20081231,2008,INDL,C,D,STD,JNJ,USD,15.3515,2769.1780,A
006266,20091231,2009,INDL,C,D,STD,JNJ,USD,18.3668,2754.3210,A
006266,20101231,2010,INDL,C,D,STD,JNJ,USD,20.6636,2738.0970,A
006266,20111231,2011,INDL,C,D,STD,JNJ,USD,20.9517,2724.3630,A
006266,20121231,2012,INDL,C,D,STD,JNJ,USD,23.3314,2778.4890,A
006266,20131231,2013,INDL,C,D,STD,JNJ,USD,26.2541,2820.6280,A
006266,20141231,2014,INDL,C,D,STD,JNJ,USD,25.0616,2783.2230,A
006266,20151231,2015,INDL,C,D,STD,JNJ,USD,25.8243,2755.1620,A
006266,20161231,2016,INDL,C,D,STD,JNJ,USD,26.0180,2706.5110,A
006266,20171231,2017,INDL,C,D,STD,JNJ,USD,22.4266,2682.5250,A
006266,20181231,2018,INDL,C,D,STD,JNJ,USD,22.4435,2662.3240,A
009850,19991231,1999,INDL,C,D,STD,SO,USD,13.8241,665.7960,A
009850,20001231,2000,INDL,C,D,STD,SO,USD,15.6939,681.1580,A
009850,20011231,2001,INDL,C,D,STD,SO,USD,11.4328,698.3440,A
009850,20021231,2002,INDL,C,D,STD,SO,USD,12.1580,716.4020,A
009850,20031231,2003,INDL,C,D,STD,SO,USD,13.1301,734.8000,A
009850,20041231,2004,INDL,C,D,STD,SO,USD,13.8555,741.8000,A
009850,20051231,2005,INDL,C,D,STD,SO,USD,14.4134,741.6000,A
009850,20061231,2006,INDL,C,D,STD,SO,USD,15.2345,746.4000,A
009850,20071231,2007,INDL,C,D,STD,SO,USD,16.2192,763.6000,A
009850,20081231,2008,INDL,C,D,STD,SO,USD,17.0820,777.1920,A
009850,20091231,2009,INDL,C,D,STD,SO,USD,18.1517,819.6470,A
009850,20101231,2010,INDL,C,D,STD,SO,USD,19.2117,843.3400,A
009850,20111231,2011,INDL,C,D,STD,SO,USD,20.3185,865.1250,A
009850,20121231,2012,INDL,C,D,STD,SO,USD,21.0851,867.7680,A
009850,20131231,2013,INDL,C,D,STD,SO,USD,21.4275,887.0860,A
009850,20141231,2014,INDL,C,D,STD,SO,USD,21.9757,907.7770,A
009850,20151231,2015,INDL,C,D,STD,SO,USD,22.5859,911.7210,A
009850,20161231,2016,INDL,C,D,STD,SO,USD,23.7411,990.3940,A
009850,20171231,2017,INDL,C,D,STD,SO,USD,23.9846,1007.6030,A
009850,20181231,2018,INDL,C,D,STD,SO,USD,23.9150,1033.7880,A
010115,19991231,1999,INDL,C,D,STD,SYK,USD,6.9084,97.2000,A
010115,20001231,2000,INDL,C,D,STD,SYK,USD,4.3640,195.9000,A
010115,20011231,2001,INDL,C,D,STD,SYK,USD,5.3696,196.7000,A
010115,20021231,2002,INDL,C,D,STD,SYK,USD,7.5628,198.1000,A
010115,20031231,2003,INDL,C,D,STD,SYK,USD,10.7902,199.7000,A
010115,20041231,2004,INDL,C,D,STD,SYK,USD,6.8373,402.5000,A
010115,20051231,2005,INDL,C,D,STD,SYK,USD,8.0252,405.2000,A
010115,20061231,2006,INDL,C,D,STD,SYK,USD,10.2746,407.9000,A
010115,20071231,2007,INDL,C,D,STD,SYK,USD,13.0864,411.0000,A
010115,20081231,2008,INDL,C,D,STD,SYK,USD,13.6395,396.4000,A
010115,20091231,2009,INDL,C,D,STD,SYK,USD,16.5748,397.9000,A
010115,20101231,2010,INDL,C,D,STD,SYK,USD,18.3421,391.1000,A
010115,20111231,2011,INDL,C,D,STD,SYK,USD,20.1654,381.0000,A
010115,20121231,2012,INDL,C,D,STD,SYK,USD,22.6237,380.0000,A
010115,20131231,2013,INDL,C,D,STD,SYK,USD,23.9339,378.0000,A
